fpr,tpr,threshold
0.0,0.0,inf
0.0,0.00010254306808859722,0.8682239863363468
1.2906806404357338e-05,0.00010254306808859722,0.8679994896610701
1.9360209606536007e-05,0.00030762920426579164,0.8675208654748495
1.9360209606536007e-05,0.00041017227235438887,0.8674167674028891
2.5813612808714677e-05,0.0007178014766201805,0.8671452663133112
3.2267016010893343e-05,0.0008203445447087777,0.8670409183402215
4.5173822415250684e-05,0.001025430680885972,0.8666227162522728
5.1627225617429354e-05,0.001025430680885972,0.8661221299802812
9.680104803268003e-05,0.0011279737489745694,0.865869996661503
9.680104803268003e-05,0.0012305168170631665,0.865846465306893
0.00010325445123485871,0.0012305168170631665,0.8656029989616941
0.00010970785443703737,0.0013330598851517637,0.8654164031454266
0.0001226146608413947,0.0013330598851517637,0.8652233870759155
0.0001226146608413947,0.0015381460213289581,0.8649204758566525
0.00013552146724575204,0.0015381460213289581,0.8648734771499363
0.00013552146724575204,0.0016406890894175555,0.864814213511657
0.00014197487044793073,0.0016406890894175555,0.8646864806664043
0.0001484282736501094,0.0017432321575061526,0.8644993053207235
0.0001484282736501094,0.0021534044298605415,0.8642760903417167
0.00015488167685228805,0.0021534044298605415,0.8642306806278903
0.00015488167685228805,0.002255947497949139,0.8641039894647178
0.00016778848325664538,0.002255947497949139,0.8640309598245557
0.00017424188645882407,0.002255947497949139,0.8639354947631731
0.0001871486928631814,0.0023584905660377358,0.863892735054468
0.00021296230567189608,0.0026661197703035273,0.8638179543963145
0.0002258691120762534,0.0026661197703035273,0.8637604208797898
0.00023877591848061076,0.0027686628383921247,0.8637364864168495
0.00023877591848061076,0.002871205906480722,0.8636944969900636
0.0002452293216827894,0.002871205906480722,0.8635721270541721
0.0002452293216827894,0.0030762920426579163,0.8634335095643232
0.00025813612808714675,0.0030762920426579163,0.8632768171783225
0.0002710429344915041,0.0030762920426579163,0.8632276508393947
0.0002904031440980401,0.0031788351107465136,0.8631870981593596
0.0002904031440980401,0.003486464315012305,0.8630911344963176
0.0002968565473002188,0.003486464315012305,0.8627938241779347
0.0002968565473002188,0.003896636587366694,0.8625635372511842
0.0003097633537045761,0.003896636587366694,0.8625133415116478
0.0003097633537045761,0.003999179655455291,0.8623090865061055
0.0003162167569067548,0.003999179655455291,0.8622655346657495
0.00034203036971546945,0.003999179655455291,0.8621394741550837
0.00036139057932200547,0.003999179655455291,0.861815434118172
0.00036139057932200547,0.004101722723543888,0.8616943089640926
0.0003742973857263628,0.004101722723543888,0.8614458752605226
0.0003742973857263628,0.004306808859721083,0.861364959238378
0.0003872041921307201,0.004306808859721083,0.8613482738544231
0.0003936575953328988,0.004306808859721083,0.8613048316121258
0.0003936575953328988,0.00440935192780968,0.8612307737668232
0.00040656440173725614,0.00440935192780968,0.8608856316779105
0.00040656440173725614,0.004511894995898278,0.860854240271654
0.00041301780493943483,0.004511894995898278,0.8605356970778136
0.00041947120814161346,0.0047169811320754715,0.8603190725932586
0.0004388314177481495,0.0047169811320754715,0.8601899311986382
0.0004517382241525068,0.0047169811320754715,0.8601344466460553
0.0004646450305568642,0.0047169811320754715,0.8600124273438354
0.0004646450305568642,0.004819524200164069,0.8599959109862477
0.00048400524016340015,0.004819524200164069,0.8597156537764888
0.00048400524016340015,0.004922067268252666,0.8596319171631505
0.0004904586433655788,0.004922067268252666,0.8595256755494765
0.0004904586433655788,0.005127153404429861,0.8592085715174792
0.0004969120465677575,0.005127153404429861,0.8591756792084693
0.0005098188529721148,0.005127153404429861,0.8590953077647608
